activity_date,total_steps,total_distance,tracker_distance,logged_activities_distance,very_active_distance,moderately_active_distance,lightly_active_distance,sedentary_active_distance,very_active_minutes,moderately_active_minutes,lightly_active_minutes,sedentary_minutes,calories,active_distance,active_minutes,total_minutes
2016-04-12,8236.8484848484841,5.9827272487575751,5.9581817815454547,0.21584436387878791,1.8263636439090905,0.34606060475757577,3.4099999910303027,0.00030303030303030303,22.303030303030305,7.8484848484848451,198.99999999999997,1026.212121212121,2390.6969696969695,5.58242423969697,229.15151515151516,1255.3636363636363
2016-04-13,7198.727272727273,5.1033333161212129,5.0715151573939394,0.21040769778787882,1.3266666811818186,0.42000000378787883,3.1409090919696969,0.0015151515151515154,20.333333333333336,10.575757575757576,181.75757575757575,1021.7878787878789,2286.6363636363631,4.8875757769393937,212.66666666666669,1234.4545454545453
2016-04-14,7743.57575757576,5.5993939626363636,5.5763636671212122,0.16783321263636358,1.5096969758484848,0.50969697127272717,3.5684848544242422,0.0021212120909090909,20.939393939393941,12.393939393939394,201.0,1010.0303030303028,2356.393939393939,5.5878788015454557,234.33333333333337,1244.3636363636367
2016-04-15,7533.8484848484868,5.2878787771212119,5.2878787771212119,0.0,1.0557575768484848,0.40393939215151509,3.7672727287878787,0.0015151515151515154,19.181818181818183,9.8787878787878771,213.84848484848487,961.060606060606,2355.1818181818176,5.2269696977878786,242.90909090909093,1203.969696969697
2016-04-16,8679.1562500000018,6.2915625178749988,6.2915625178749988,0.0,1.9937499667812495,0.70874999987500009,3.45062499984375,0.0015624999687499999,27.843749999999996,15.125,193.8125,1002.65625,2392.9374999999995,6.153124966500001,236.78124999999997,1239.4375
2016-04-17,6409.25,4.5406249602500015,4.5406249602500015,0.0,1.1453124834375,0.49749999718749993,2.82218750271875,0.00062500000000000023,18.90625,11.843749999999998,165.34375,1049.96875,2230.96875,4.4649999833437493,196.09375000000003,1246.0625000000002
2016-04-18,7896.9687500000009,5.6578124747500009,5.62437498434375,0.21945928781249996,1.6656250194062499,0.69593749918749992,3.28125000259375,0.0015625000000000003,24.40625,16.125,188.28125,1061.21875,2333.3750000000009,5.6428125211875,228.81249999999997,1290.0312500000002
2016-04-19,8048.6562499999991,5.8718749248125,5.8412499391875,0.22485072165625003,1.8831249975312503,0.51906250459375,3.46343749384375,0.00093750000000000018,23.968749999999996,13.781249999999998,201.90625000000006,1003.9375,2359.09375,5.8656249959687514,239.65625,1243.5937500000002
2016-04-20,8162.9687499999973,5.9503125440000009,5.922187526187499,0.21928087621874992,1.8618750074374992,0.63343749415625,3.4509375284687502,0.0018750000000000004,24.1875,18.750000000000004,203.59375,974.12500000000011,2395.2187500000005,5.946250030062501,246.53125000000003,1220.65625
2016-04-21,8243.5937500000018,6.0300000675,5.9728125698749981,0.19796166568749995,1.9228125181874995,0.62187499556250014,3.16218748121875,0.0049999999687499993,26.843750000000007,14.937500000000004,182.65625000000006,1031.875,2421.8749999999995,5.7068749949687509,224.43749999999994,1256.3125
2016-04-22,7446.3750000000009,5.3278124726875022,5.3278124726875022,0.065379597249999991,1.6109374812187498,0.51187499975,3.1878124607812506,0.0028125000312500012,24.437500000000011,13.250000000000004,195.53125000000003,1032.125,2327.6562500000005,5.3106249417499996,233.21874999999997,1265.3437500000002
