Id,ActivityDate,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,ActiveDistance,ActiveMinutes,TotalMinutes
1503960366,2016-04-12,13162,8.5,8.5,0.0,1.879999995,0.550000012,6.059999943,0.0,25,13,328,728,1985,8.48999995,366,1094
1503960366,2016-04-13,10735,6.96999979,6.96999979,0.0,1.570000052,0.689999998,4.710000038,0.0,21,19,217,776,1797,6.9700000880000008,257,1033
1503960366,2016-04-14,10460,6.739999771,6.739999771,0.0,2.440000057,0.400000006,3.910000086,0.0,30,11,181,1218,1776,6.750000149,222,1440
1503960366,2016-04-15,9762,6.28000021,6.28000021,0.0,2.140000105,1.25999999,2.829999924,0.0,29,34,209,726,1745,6.230000019,272,998
1503960366,2016-04-16,12669,8.159999847,8.159999847,0.0,2.710000038,0.409999996,5.039999962,0.0,36,10,221,773,1863,8.159999996,267,1040
1503960366,2016-04-17,9705,6.480000019,6.480000019,0.0,3.190000057,0.779999971,2.50999999,0.0,38,20,164,539,1728,6.480000018,222,761
1503960366,2016-04-18,13019,8.590000153,8.590000153,0.0,3.25,0.639999986,4.710000038,0.0,42,16,233,1149,1921,8.600000024,291,1440
1503960366,2016-04-19,15506,9.880000114,9.880000114,0.0,3.529999971,1.320000052,5.03000021,0.0,50,31,264,775,2035,9.880000233,345,1120
1503960366,2016-04-20,10544,6.679999828,6.679999828,0.0,1.960000038,0.479999989,4.239999771,0.0,28,12,205,818,1786,6.679999798,245,1063
1503960366,2016-04-21,9819,6.340000153,6.340000153,0.0,1.340000033,0.349999994,4.650000095,0.0,19,8,211,838,1775,6.340000122,238,1076
1503960366,2016-04-22,12764,8.130000114,8.130000114,0.0,4.760000229,1.120000005,2.24000001,0.0,66,27,130,1217,1827,8.120000244,223,1440
1503960366,2016-04-23,14371,9.039999962,9.039999962,0.0,2.809999943,0.870000005,5.360000134,0.0,41,21,262,732,1949,9.0400000819999988,324,1056
1503960366,2016-04-24,10039,6.409999847,6.409999847,0.0,2.920000076,0.209999993,3.279999971,0.0,39,5,238,709,1788,6.41000004,282,991
1503960366,2016-04-25,15355,9.800000191,9.800000191,0.0,5.289999962,0.569999993,3.940000057,0.0,73,14,216,814,2013,9.800000012,303,1117
1503960366,2016-04-26,13755,8.789999962,8.789999962,0.0,2.329999924,0.920000017,5.539999962,0.0,31,23,279,833,1970,8.789999903,333,1166
1503960366,2016-04-27,18134,12.21000004,12.21000004,0.0,6.400000095,0.409999996,5.409999847,0.0,78,11,243,1108,2159,12.219999938,332,1440
1503960366,2016-04-28,13154,8.529999733,8.529999733,0.0,3.539999962,1.159999967,3.789999962,0.0,48,28,189,782,1898,8.489999891,265,1047
1503960366,2016-04-29,11181,7.150000095,7.150000095,0.0,1.059999943,0.5,5.579999924,0.0,16,12,243,815,1837,7.139999867,271,1086
1503960366,2016-04-30,14673,9.25,9.25,0.0,3.559999943,1.419999957,4.269999981,0.0,52,34,217,712,1947,9.249999880999999,303,1015
1503960366,2016-05-01,10602,6.809999943,6.809999943,0.0,2.289999962,1.600000024,2.920000076,0.0,33,35,246,730,1820,6.810000062,314,1044
1503960366,2016-05-02,14727,9.710000038,9.710000038,0.0,3.210000038,0.569999993,5.920000076,0.0,41,15,277,798,2004,9.700000107000001,333,1131
1503960366,2016-05-03,15103,9.659999847,9.659999847,0.0,3.730000019,1.049999952,4.880000114,0.0,50,24,254,816,1990,9.660000085,328,1144
1503960366,2016-05-04,11100,7.150000095,7.150000095,0.0,2.460000038,0.870000005,3.819999933,0.0,36,22,203,1179,1819,7.149999976,261,1440
1503960366,2016-05-05,14070,8.899999619,8.899999619,0.0,2.920000076,1.080000043,4.880000114,0.0,45,24,250,857,1959,8.880000233,319,1176
1503960366,2016-05-06,12159,8.029999733,8.029999733,0.0,1.970000029,0.25,5.809999943,0.0,24,6,289,754,1896,8.029999972,319,1073
1503960366,2016-05-07,11992,7.710000038,7.710000038,0.0,2.460000038,2.119999886,3.130000114,0.0,37,46,175,833,1821,7.710000038,258,1091
1503960366,2016-05-08,10060,6.579999924,6.579999924,0.0,3.529999971,0.319999993,2.730000019,0.0,44,8,203,574,1740,6.579999983,255,829
1503960366,2016-05-09,12022,7.71999979,7.71999979,0.0,3.450000048,0.529999971,3.74000001,0.0,46,11,206,835,1819,7.720000029,263,1098
1503960366,2016-05-10,12207,7.769999981,7.769999981,0.0,3.349999905,1.159999967,3.25999999,0.0,46,31,214,746,1859,7.769999862,291,1037
