Id,total_sleep_records,total_minutes_asleep,total_time_in_bed
1503960366,1.08,360.28,383.2
1644430081,1.0,294.0,346.0
1844505072,1.0,652.0,961.0
1927972279,1.6,417.0,437.8
2026352035,1.0,506.17857142857139,537.64285714285722
2320127002,1.0,61.0,69.0
2347167796,1.0,446.8,491.33333333333337
3977333714,1.1428571428571428,293.64285714285717,461.14285714285717
4020332650,1.0,349.375,379.75
4319703577,1.0384615384615385,476.65384615384625,501.9615384615384
4388161847,1.2916666666666665,403.12499999999994,426.20833333333337
4445114986,1.3928571428571432,385.17857142857144,416.82142857142867
4558609924,1.0,127.6,140.0
4702921684,1.0714285714285714,421.14285714285711,441.96428571428572
5553957443,1.2258064516129032,463.48387096774189,505.87096774193543
5577150313,1.0384615384615385,432.0,460.61538461538464
6117666160,1.2222222222222223,478.77777777777771,510.16666666666669
6775888955,1.0,349.66666666666669,369.0
6962181067,1.0967741935483872,448.0,466.12903225806451
7007744171,1.0,68.5,71.5
7086361926,1.0,453.125,466.41666666666669
8053475328,1.0,297.0,301.66666666666669
8378563200,1.125,443.34375,483.3125
8792009665,1.0,435.66666666666674,453.80000000000007
